cte_true,mc_mean,mc_std
-0.05878,-0.08809,0.10362
-0.07298,-0.11617,0.12374
-0.08290,-0.07879,0.10282
-0.09691,-0.10905,0.10000
-0.11253,-0.08374,0.10622
-0.12511,-0.00729,0.09115
-0.14832,-0.05675,0.10830
-0.16805,0.05746,0.10711
-0.18926,-0.02333,0.13844
-0.21370,-0.22931,0.16590
-0.23684,-0.13525,0.11539
-0.26076,-0.17735,0.16967
-0.28618,-0.23802,0.10557
-0.31216,-0.27964,0.17368
-0.33871,-0.30396,0.11432
-0.36542,-0.32896,0.12908
-0.39164,-0.40755,0.17280
-0.41709,-0.47256,0.12023
-0.44147,-0.49090,0.14698
-0.46460,-0.58503,0.13410
-0.48579,-0.51063,0.20981
-0.50481,-0.65116,0.11811
-0.52127,-0.66927,0.14577
-0.53469,-0.57808,0.15448
-0.54453,-0.44279,0.14672
-0.55048,-0.52874,0.14680
-0.55229,-0.64412,0.13020
-0.54977,-0.53502,0.14465
-0.54273,-0.50699,0.13672
-0.53110,-0.49365,0.16941
-0.51490,-0.49174,0.14910
-0.49411,-0.63233,0.22929
-0.46912,-0.56919,0.15243
-0.44033,-0.60443,0.15994
-0.40842,-0.59271,0.17266
-0.37363,-0.60076,0.10331
-0.33701,-0.39702,0.20179
-0.29928,-0.35651,0.17099
-0.26130,-0.30249,0.18684
-0.22371,-0.27517,0.15627
-0.18789,-0.10964,0.15664
-0.15481,0.01505,0.12569
-0.12543,-0.14104,0.16306
-0.10046,0.01704,0.13172
-0.08088,-0.05131,0.11209
-0.06764,-0.04448,0.09328
-0.06131,-0.04388,0.12427
-0.06221,-0.06868,0.12440
-0.07064,-0.11517,0.11287
-0.08652,-0.14525,0.15877
-0.10959,-0.17697,0.15626
-0.13930,-0.21761,0.13665
-0.17513,-0.30756,0.15960
-0.21604,-0.19394,0.13975
-0.26046,-0.11676,0.12597
-0.30697,-0.13369,0.11943
-0.35440,-0.24443,0.10694
-0.40097,-0.23283,0.15002
-0.44485,-0.17998,0.12841
-0.48377,-0.12515,0.10054
-0.51640,-0.23640,0.12053
-0.41752,-0.43041,0.15208
-0.58099,-0.71045,0.15212
-0.73803,-0.63630,0.11612
-0.87947,-0.67809,0.15028
-0.86549,-1.04563,0.17539
-1.10750,-1.25245,0.22466
-1.32189,-1.22973,0.21137
-1.49943,-1.31862,0.26995
-1.62971,-1.78721,0.35854
-1.66380,-1.93903,0.27130
-1.83515,-1.90355,0.33316
-1.95326,-1.83680,0.39305
-2.01682,-1.93823,0.39611
-1.91713,-1.79097,0.74819
-2.02455,-1.66401,0.68225
-2.07652,-1.80477,0.58117
-2.07228,-1.94493,0.26839
-1.84012,-2.00120,0.26265
-1.87941,-1.84954,0.32935
-1.86181,-1.64113,0.32237
-1.78723,-1.59236,0.27989
-1.65613,-1.57731,0.28394
-1.40751,-1.48210,0.27390
-1.31931,-1.14111,0.20203
-1.18238,-0.89953,0.17652
-1.00318,-0.64961,0.21097
-0.71898,-0.37749,0.14806
-0.63026,-0.15430,0.12268
-0.52242,-0.16379,0.13351
-0.40035,-0.21782,0.11910
-0.26263,-0.08810,0.14362
-0.28940,-0.02583,0.08521
-0.31732,-0.05131,0.09124
-0.27982,-0.39953,0.12995
-0.47324,-0.50770,0.09553
-0.66419,-0.69479,0.15845
-0.84540,-0.96006,0.14448
-1.00346,-1.17795,0.24514
-1.12783,-1.25786,0.21504
-1.21250,-1.37486,0.26607
-1.25035,-1.51611,0.26625
-1.23577,-1.23243,0.21334
-1.16826,-1.01277,0.21312
-1.05061,-0.96511,0.12773
-0.88604,-0.80849,0.18689
-0.68422,-0.59990,0.18390
-0.45499,-0.28297,0.14410
-0.20525,-0.00853,0.07923
0.05425,0.02217,0.05130
0.30573,0.41093,0.16673
0.53374,0.73255,0.14745
0.72245,0.90053,0.24269
0.86141,0.83197,0.20230
0.93903,0.90829,0.12392
0.94552,0.83176,0.19119
0.87900,0.67339,0.10674
0.74166,0.33240,0.18521
0.53948,0.18539,0.15171
0.28538,0.01068,0.08592
-0.00774,-0.35676,0.16061
-0.33086,-0.73625,0.19837
-0.67043,-0.93157,0.17483
-1.00448,-1.19036,0.21741
-1.31350,-1.42461,0.22353
-1.58306,-1.97204,0.27820
-1.79347,-2.06471,0.32389
-1.93062,-1.93920,0.32600
-1.99436,-1.90236,0.23046
-1.98440,-1.77313,0.31449
-1.90635,-1.66896,0.35369
-1.86467,-1.44261,0.23902
-1.75080,-1.37082,0.27470
-1.50669,-1.56937,0.33118
-1.36404,-0.93431,0.24071
-1.15710,-0.87880,0.17579
-0.89485,-0.52651,0.20529
-0.57243,0.03038,0.14495
-0.34217,-0.10667,0.47449
-0.09822,-1.54725,0.76008
0.19903,-1.15669,0.93587
0.32577,-0.37785,0.71232
0.42288,0.64279,0.15318
0.52118,0.36727,0.15468
