cte_true,mc_mean,mc_std,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9
0.00829,-3.38125,0.70863,-2.59493,-4.06425,-4.52353,-2.06496,-3.48518,-3.73873,-3.64367,-3.37092,-2.94570,-3.38059
0.01621,-3.55233,0.80650,-2.87978,-4.38177,-4.61836,-1.77026,-3.70880,-3.96136,-3.65619,-3.81223,-3.19005,-3.54453
0.02192,-3.37478,0.71839,-2.74870,-4.19656,-4.58398,-2.10584,-3.19769,-3.78248,-3.64346,-3.24487,-2.90901,-3.33521
0.02521,-3.07906,0.96765,-2.46971,-3.95352,-4.28444,-0.77050,-3.04844,-3.62806,-3.47002,-3.21283,-2.89108,-3.06195
0.02816,-3.14653,0.84354,-2.40292,-3.90584,-4.28266,-1.27995,-3.21628,-3.62156,-3.61292,-3.05951,-2.93677,-3.14693
0.02070,-2.94109,1.07865,-2.52314,-3.74007,-4.19617,-0.19752,-2.98476,-3.48192,-3.44569,-2.88125,-2.99137,-2.96905
0.01029,-3.13429,0.93713,-2.49164,-4.02815,-4.36217,-1.02400,-2.99555,-3.71591,-3.69098,-2.93674,-2.97856,-3.11920
-0.00269,-2.86553,1.02272,-2.18086,-3.62575,-4.43393,-0.56243,-2.92180,-3.27535,-3.45157,-2.62018,-2.69931,-2.88412
-0.01769,-2.76972,1.09523,-2.12156,-3.46075,-4.30658,-0.19060,-2.82665,-3.35493,-3.41866,-2.45758,-2.68049,-2.87937
-0.03564,-2.77310,1.02913,-2.11229,-3.45562,-4.25431,-0.38493,-2.72368,-3.32494,-3.34627,-2.49487,-2.72926,-2.90485
-0.05507,-2.99814,1.07723,-2.26628,-3.67209,-4.47936,-0.53281,-3.08927,-3.86831,-3.46228,-2.67752,-2.74717,-3.18629
-0.07537,-2.75267,1.17723,-2.03888,-3.41827,-4.23634,0.08502,-2.81825,-3.60504,-3.36019,-2.42884,-2.70871,-2.99720
-0.10201,-2.77763,1.13033,-2.08569,-3.42606,-4.24925,-0.08608,-2.76594,-3.50589,-3.48110,-2.50163,-2.63632,-3.03832
-0.11569,-3.07636,1.12563,-2.40981,-3.85959,-4.36828,-0.34548,-3.28169,-3.94311,-3.56858,-2.76404,-2.90749,-3.31551
-0.12832,-3.05809,1.04021,-2.01347,-3.80095,-4.56045,-0.83271,-3.12652,-3.80298,-3.52590,-2.85109,-2.85538,-3.21143
-0.13930,-2.97368,1.02253,-2.17252,-3.85248,-4.41548,-0.69310,-2.94080,-3.59849,-3.47538,-2.78256,-2.78789,-3.01812
-0.16150,-3.02744,1.60358,-2.52998,-4.19063,-4.56080,1.18009,-3.06699,-4.05507,-3.55159,-2.98737,-3.09801,-3.41404
-0.15164,-3.03966,1.46889,-2.59126,-4.27620,-4.45895,0.76603,-2.93520,-3.97001,-3.53785,-3.02069,-3.07876,-3.29369
-0.13839,-3.13091,1.40291,-2.77917,-4.19486,-4.24842,0.60856,-3.04480,-3.99732,-3.70357,-3.16477,-3.36757,-3.41718
-0.12248,-3.40826,1.12616,-2.75663,-4.49509,-4.39385,-0.57598,-3.21673,-4.10886,-3.84811,-3.56218,-3.45563,-3.66951
-0.11869,-3.57574,0.74501,-2.77996,-4.35376,-4.50269,-2.03560,-3.51318,-3.90654,-4.02959,-3.58284,-3.20932,-3.84389
-0.07728,-3.62434,0.66275,-2.72123,-4.40368,-4.37968,-2.45066,-3.77787,-3.76831,-4.10895,-3.55423,-3.16278,-3.91598
-0.03423,-3.38653,0.90636,-2.25895,-4.06787,-4.03552,-1.32214,-3.36571,-3.81837,-3.91187,-3.94462,-3.31228,-3.82798
0.00813,-3.57219,0.69826,-2.58483,-3.98589,-4.37996,-2.20954,-3.91567,-3.90898,-3.89336,-3.83791,-3.10412,-3.90165
0.03696,-3.60978,0.65490,-2.67473,-3.87545,-4.24710,-2.26849,-3.97169,-4.04047,-3.98053,-3.72693,-3.31126,-4.00114
0.10375,-3.73327,0.58185,-2.61805,-3.93793,-4.39944,-2.91671,-4.22325,-3.99594,-4.07050,-3.72882,-3.38365,-4.05843
0.16546,-3.87338,0.60600,-2.74082,-3.73483,-4.49072,-3.06205,-4.48331,-4.28506,-4.35282,-3.83435,-3.56593,-4.18391
