cte_true,mc_mean,mc_std
-0.47612,-0.54251,0.15081
-0.38401,-0.33848,0.16255
-0.30233,0.05813,0.10879
-0.16762,0.04534,0.08950
-0.03770,0.09500,0.10570
0.08287,0.11125,0.10875
0.15379,0.38510,0.13104
0.28453,0.47956,0.15825
0.39559,0.75070,0.09140
0.48230,0.55375,0.14956
0.54283,0.55210,0.13693
0.57473,0.69664,0.14581
0.57670,0.53692,0.12953
0.54950,0.36027,0.16685
0.49438,0.12867,0.10653
0.41408,0.13734,0.13744
0.31072,0.05795,0.11792
0.18900,-0.09249,0.11662
0.05153,0.00873,0.10650
-0.09584,-0.20161,0.08517
-0.24875,-0.46820,0.14099
-0.40399,-0.51178,0.16635
-0.55627,-0.63124,0.08954
-0.70043,-0.86840,0.12866
-0.82988,-0.98128,0.16372
-0.94059,-0.98918,0.18975
-1.03004,-1.05013,0.20443
-1.09457,-1.12210,0.21972
-1.13118,-1.25894,0.22990
-1.13936,-1.22211,0.21422
-1.11948,-1.10701,0.27368
-1.07239,-0.88712,0.26799
-1.00047,-0.66707,0.12636
-0.90569,-0.76691,0.17081
-0.72432,-0.85748,0.21310
-0.71139,-0.66102,0.14652
-0.68825,-0.39504,0.15712
-0.65246,-0.20216,0.13712
-0.60499,-0.33067,0.16462
-0.50098,-0.55336,0.17780
-0.55348,-0.53811,0.16814
-0.59971,-0.66909,0.14966
-0.63607,-0.71338,0.13621
-0.52515,-0.81378,0.16120
-0.65760,-0.95842,0.19139
-0.78083,-0.98219,0.17471
-0.88707,-0.85663,0.21743
-0.97451,-0.91337,0.24710
-0.90552,-1.10470,0.17915
-1.06325,-1.07952,0.23887
-1.19799,-1.30877,0.25259
-1.30136,-1.19017,0.30058
-1.36984,-1.44123,0.30298
-1.23909,-1.56324,0.25356
-1.35550,-1.60130,0.25448
-1.44311,-1.49781,0.21157
-1.49436,-1.44977,0.24622
-1.51149,-1.35456,0.26230
-1.49505,-1.39570,0.25465
-1.35730,-1.40746,0.22189
-1.39004,-1.36326,0.21086
-1.38956,-1.22661,0.24379
-1.35606,-1.00265,0.18819
-1.28989,-1.01461,0.17197
-1.06650,-0.97941,0.14873
-1.06062,-0.99949,0.23384
-1.03462,-0.68780,0.11585
-0.98511,-0.53724,0.11662
-0.91439,-0.61179,0.16613
-0.68095,-0.75412,0.16166
-0.68905,-0.77678,0.15920
-0.68951,-0.51358,0.13735
-0.67800,-0.54845,0.13882
-0.65411,-0.49723,0.12574
-0.48775,-0.72048,0.12731
