cte_true,mc_mean,mc_std,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9
-0.12304,-0.06062,0.07033,-0.13746,0.02926,0.00898,-0.09501,-0.11411,0.02162,-0.13051,-0.13442,0.00680,-0.06134
-0.09983,0.03439,0.10263,-0.08330,0.08352,0.06322,-0.02870,0.00789,0.15764,-0.01964,-0.12743,0.19071,0.09993
-0.08229,-0.02461,0.07549,-0.12613,0.03878,0.05738,-0.07625,-0.08130,0.09017,-0.06929,-0.10221,0.02837,-0.00558
-0.07080,-0.09519,0.05752,-0.12049,-0.07156,-0.00753,-0.12525,-0.14001,-0.04698,-0.16007,-0.17677,-0.07391,-0.02928
-0.06620,-0.09164,0.05107,-0.14554,-0.00593,-0.03811,-0.10245,-0.11702,-0.09331,-0.09076,-0.18330,-0.08135,-0.05863
-0.06886,-0.04975,0.06329,-0.08855,0.02398,-0.02117,-0.11905,-0.03045,0.04115,-0.11413,-0.14220,-0.00371,-0.04335
-0.07890,-0.07685,0.04429,-0.10472,-0.01620,-0.01257,-0.11194,-0.07105,-0.03336,-0.07821,-0.13446,-0.12775,-0.07824
-0.09636,-0.06559,0.04916,-0.08992,-0.07427,-0.01250,-0.05510,-0.05986,0.02562,-0.13989,-0.09792,-0.11485,-0.03719
-0.12103,-0.11156,0.06824,-0.12326,-0.08689,-0.07737,-0.21622,-0.14219,-0.10790,-0.09344,-0.14387,-0.16673,0.04229
-0.15200,-0.19074,0.09441,-0.11779,-0.15077,-0.09674,-0.32690,-0.18668,-0.30706,-0.26059,-0.22338,-0.20838,-0.02910
-0.18891,-0.13183,0.06970,-0.10040,-0.14418,-0.11468,-0.18614,-0.13639,-0.08780,-0.20515,-0.19970,-0.17245,0.02864
-0.23080,-0.13909,0.09142,-0.05345,-0.11630,-0.07521,-0.21818,-0.14468,-0.11911,-0.29434,-0.20643,-0.18490,0.02171
-0.27573,-0.16483,0.07686,-0.08319,-0.18190,-0.20879,-0.21881,-0.15315,-0.12261,-0.23298,-0.23112,-0.21720,0.00149
-0.32291,-0.17890,0.10655,-0.08762,-0.14159,-0.30879,-0.25008,-0.17573,-0.07223,-0.31264,-0.17243,-0.27027,0.00234
-0.37004,-0.32487,0.09373,-0.13678,-0.28977,-0.33419,-0.40522,-0.23818,-0.36204,-0.41306,-0.32819,-0.28394,-0.45737
-0.41570,-0.31551,0.11273,-0.08825,-0.26906,-0.30840,-0.36385,-0.19784,-0.44348,-0.41538,-0.31184,-0.30764,-0.44933
-0.45808,-0.28678,0.12569,-0.08933,-0.18987,-0.23240,-0.31032,-0.19533,-0.41428,-0.35671,-0.26020,-0.28748,-0.53190
-0.49531,-0.17592,0.06558,-0.08129,-0.12182,-0.18920,-0.12978,-0.20708,-0.20615,-0.31409,-0.14978,-0.21756,-0.14241
-0.52530,-0.32684,0.10412,-0.23967,-0.22987,-0.27065,-0.40818,-0.28497,-0.34834,-0.45704,-0.19781,-0.31821,-0.51365
-0.48319,-0.47165,0.09188,-0.33792,-0.54738,-0.47168,-0.50145,-0.38434,-0.51523,-0.50961,-0.32230,-0.53681,-0.58979
-0.64280,-0.64267,0.11491,-0.70079,-0.70954,-0.65838,-0.50263,-0.52801,-0.89666,-0.55395,-0.57222,-0.66721,-0.63730
-0.79433,-0.42250,0.09135,-0.26752,-0.54488,-0.46251,-0.40157,-0.51219,-0.46643,-0.46791,-0.39586,-0.42954,-0.27664
-0.92731,-0.71403,0.10548,-0.54242,-0.76077,-0.73489,-0.66688,-0.77858,-0.75666,-0.93501,-0.63552,-0.66387,-0.66570
-0.96011,-0.97229,0.08207,-0.90655,-1.04950,-0.97841,-1.04050,-0.90922,-1.02629,-1.07948,-0.87410,-0.84593,-1.01293
-1.18717,-1.04556,0.14657,-0.96561,-1.09824,-1.02425,-1.18959,-1.28716,-0.97500,-1.20302,-0.90335,-0.81826,-0.99115
-1.38452,-1.19160,0.14931,-1.17204,-1.16873,-1.24623,-1.25912,-1.35407,-0.98025,-1.37879,-0.98967,-1.33387,-1.03325
-1.53671,-1.43434,0.17265,-1.54501,-1.39227,-1.39884,-1.41637,-1.58853,-1.37036,-1.63912,-1.14949,-1.64689,-1.19654
-1.51027,-1.66466,0.13253,-1.76981,-1.75056,-1.51661,-1.68418,-1.70631,-1.78070,-1.76596,-1.41836,-1.74620,-1.50789
-1.70479,-1.70436,0.14367,-1.80667,-1.86655,-1.62880,-1.52672,-1.79870,-1.85390,-1.74323,-1.42817,-1.73098,-1.65984
-1.84840,-1.65627,0.14231,-1.61622,-1.81686,-1.65264,-1.50507,-1.78360,-1.83611,-1.70820,-1.42464,-1.71636,-1.50305
-1.93751,-1.64593,0.16077,-1.55424,-1.83079,-1.54216,-1.52095,-1.80644,-1.81989,-1.75867,-1.48107,-1.74131,-1.40379
-1.97152,-1.77967,0.12446,-1.79134,-1.88560,-1.78331,-1.63331,-1.95465,-1.87702,-1.82600,-1.53991,-1.80499,-1.70055
-1.91387,-1.86987,0.15325,-1.95947,-1.92074,-1.95261,-1.65625,-2.12348,-1.90637,-1.90310,-1.82936,-1.85993,-1.58743
-1.99186,-1.67742,0.16258,-1.52084,-1.77376,-1.75503,-1.48111,-1.96974,-1.76923,-1.76959,-1.64604,-1.64639,-1.44245
-2.01402,-1.65268,0.12715,-1.48975,-1.73783,-1.65283,-1.54287,-1.91941,-1.74122,-1.71105,-1.56703,-1.58751,-1.57730
-1.97981,-1.69170,0.13090,-1.47693,-1.73944,-1.75289,-1.51617,-1.90104,-1.84453,-1.71298,-1.66586,-1.65796,-1.64923
-1.79487,-1.67474,0.13640,-1.52158,-1.67461,-1.75527,-1.44041,-1.77674,-1.90049,-1.61263,-1.79440,-1.63712,-1.63420
-1.80409,-1.56083,0.17476,-1.34972,-1.45252,-1.72227,-1.39387,-1.57401,-1.87537,-1.42550,-1.76792,-1.49582,-1.55130
-1.75638,-1.33945,0.17040,-1.18077,-1.29528,-1.53146,-1.24285,-1.18814,-1.71635,-1.35680,-1.39775,-1.25960,-1.22554
-1.65193,-1.29791,0.10184,-1.29821,-1.29136,-1.43900,-1.19828,-1.17863,-1.47834,-1.29343,-1.35654,-1.25355,-1.19180
-1.35616,-1.26499,0.14040,-1.21486,-1.18829,-1.39898,-1.13789,-1.16151,-1.50595,-1.21541,-1.21975,-1.13243,-1.47487
-1.29549,-1.03160,0.13176,-1.01297,-0.99987,-1.36431,-0.98323,-0.90492,-1.03957,-0.88204,-1.04472,-1.08076,-1.00360
