cte_true,mc_mean,mc_std
0.46439,0.15443,0.14979
0.45610,0.05646,0.11186
0.42478,0.11123,0.15550
0.36991,0.04356,0.11210
0.29413,0.08402,0.12140
0.18000,0.09988,0.11573
0.10732,0.07050,0.06031
0.02195,0.08086,0.12492
-0.07277,0.08072,0.10362
-0.21590,0.01803,0.08913
-0.28382,-0.08950,0.16101
-0.35053,-0.09182,0.12180
-0.41612,-0.30410,0.20217
-0.47859,-0.28994,0.20885
-0.55483,-0.56610,0.22094
-0.56425,-0.73220,0.23930
-0.56362,-0.65206,0.26520
-0.55390,-0.48397,0.21811
-0.56738,-0.76387,0.21713
-0.50105,-0.59613,0.23623
-0.42602,-0.37728,0.28990
-0.34579,-0.21315,0.14418
-0.31090,-0.22404,0.16548
-0.19048,-0.10878,0.12293
-0.07107,-0.02374,0.12990
0.04205,0.07390,0.10434
0.14352,0.04223,0.12127
0.20150,0.05042,0.15145
0.30934,0.18051,0.16148
0.39839,0.16915,0.15601
0.46391,0.08981,0.12726
0.50261,0.25541,0.15281
0.51396,0.13711,0.18676
0.49763,0.19231,0.15251
0.45405,0.01007,0.15503
0.38515,0.09673,0.13427
0.29253,0.11443,0.10822
0.17897,0.08608,0.12191
0.04822,0.11009,0.12819
-0.09397,0.05920,0.10216
-0.24448,0.01827,0.15662
-0.39958,-0.05991,0.11598
-0.55174,-0.10480,0.12714
-0.69538,-0.05172,0.14448
-0.82588,-0.09160,0.12269
-0.93845,-0.14738,0.12455
-1.03071,-0.07643,0.17849
-1.09772,-0.14102,0.13738
-1.13650,-0.33220,0.26004
-1.14691,-0.17378,0.15617
-1.12852,-0.56755,0.23872
-1.08213,-0.18629,0.14856
-1.01000,-0.22519,0.14474
-0.91427,-0.28476,0.21266
-0.68177,-0.22980,0.14616
-0.67087,-0.15594,0.19349
-0.65111,-0.05302,0.10223
-0.61938,-0.11443,0.11013
-0.57654,-0.08363,0.14404
-0.43658,-0.09949,0.17310
-0.49858,-0.18750,0.21905
-0.55695,-0.00066,0.10297
-0.60666,0.00202,0.14703
-0.64515,-0.04744,0.11931
-0.61692,0.02363,0.14770
-0.74951,-0.10907,0.15295
-0.86981,0.06410,0.15889
-0.96918,0.28264,0.33642
-0.87847,0.50389,0.45968
-1.04744,0.61708,0.59566
-1.19794,-0.01843,0.55235
-1.31613,0.38262,0.39957
-1.39800,0.80898,0.49118
-1.44380,1.11860,0.49426
-1.37281,1.14233,0.37616
-1.46557,0.60240,0.68121
-1.52440,0.39874,0.46239
-1.54916,0.12603,0.37601
-1.53994,0.62494,0.47934
-1.37524,0.66674,0.59969
-1.41504,0.08041,0.44594
-1.42129,-0.08709,0.15287
-1.39412,-0.02037,0.17359
-1.33390,-0.05502,0.17987
-1.08222,-0.15927,0.19317
-1.07482,-0.28992,0.21147
-1.04830,-0.21913,0.16609
-0.99897,-0.10754,0.16661
-0.92775,-0.12090,0.16405
-0.66133,-0.09422,0.11548
-0.66840,-0.16525,0.19871
-0.66901,-0.18071,0.17890
-0.65833,-0.02733,0.11220
-0.63564,0.00690,0.09628
-0.44245,-0.05546,0.10870
-0.51950,-0.02521,0.10491
-0.59421,-0.10695,0.13860
-0.66000,-0.13615,0.12746
-0.71283,-0.14972,0.17004
-0.75124,-0.10343,0.14629
-0.77418,-0.20670,0.17829
-0.78141,-0.26179,0.19655
-0.77231,-0.20373,0.17733
-0.74735,-0.33605,0.18407
-0.70709,-0.32419,0.19728
-0.65355,-0.25376,0.24615
-0.58803,-0.17884,0.14151
-0.51224,-0.24572,0.21119
-0.42858,-0.16653,0.13914
-0.34045,-0.14413,0.20194
-0.25081,-0.09954,0.11230
-0.16182,0.03750,0.09695
-0.07648,0.02268,0.12623
0.00137,0.06476,0.11712
0.06888,0.08440,0.13475
0.12430,0.02238,0.10659
0.16552,0.08824,0.11139
0.19046,0.09196,0.13413
0.19846,0.05102,0.14474
0.18921,0.13089,0.13728
0.16295,0.15429,0.19053
0.12065,0.14468,0.15256
0.06348,0.15557,0.14279
-0.00629,0.11437,0.13826
-0.08621,0.08944,0.12183
-0.17429,0.02630,0.10298
-0.26819,0.06245,0.10978
-0.36503,-0.00497,0.13677
-0.46004,-0.09173,0.12781
-0.54956,-0.13255,0.12914
-0.63195,-0.20977,0.16324
-0.70434,-0.17224,0.16028
-0.76245,-0.25914,0.18616
-0.80389,-0.08372,0.11069
-0.82807,-0.14583,0.10940
-0.83397,-0.34597,0.19491
-0.82082,-0.34568,0.22037
-0.78915,-0.47033,0.20262
-0.74020,-0.37072,0.17954
-0.67505,-0.21142,0.18357
-0.59647,-0.01361,0.11417
-0.50753,0.05216,0.11462
-0.41105,0.03070,0.12554
-0.30902,-0.02239,0.12254
-0.18089,0.00700,0.08779
-0.16956,0.10422,0.11540
-0.16465,0.10797,0.14319
-0.16457,0.09548,0.10104
-0.11107,0.03414,0.13032
-0.21017,0.06255,0.11775
-0.31655,0.10293,0.18306
-0.42345,0.10803,0.14647
-0.42054,0.04231,0.10671
-0.60205,0.07039,0.13654
-0.77498,-0.02989,0.10252
-0.93250,0.10099,0.10043
-1.06612,0.18567,0.16934
-1.07622,0.34282,0.34031
-1.23839,0.37017,0.34935
-1.37145,0.52512,0.32798
-1.46711,0.55122,0.40257
-1.52434,0.62738,0.38163
-1.44788,0.47969,0.35094
-1.52118,0.32922,0.34678
-1.55938,0.27902,0.29019
-1.56250,0.46227,0.35993
-1.53078,0.19741,0.31022
