cte_true,mc_mean,mc_std,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9
-0.51444,-0.32277,0.23539,-0.12884,-0.54493,0.06231,-0.36062,-0.04197,-0.48937,-0.57951,-0.51010,-0.15258,-0.48213
-0.51891,-0.33213,0.22348,-0.15707,-0.51768,0.02242,-0.37181,-0.04555,-0.51792,-0.55916,-0.52887,-0.16461,-0.48106
-0.52160,-0.27881,0.24676,-0.06871,-0.49005,0.13444,-0.35122,0.00454,-0.53617,-0.53427,-0.40259,-0.10464,-0.43939
-0.52244,-0.30269,0.23972,-0.11476,-0.54442,0.08909,-0.37079,-0.03202,-0.48912,-0.58481,-0.42104,-0.10259,-0.45644
-0.52139,-0.31496,0.25030,-0.15965,-0.63797,0.12738,-0.36117,-0.03777,-0.46649,-0.57203,-0.46388,-0.13377,-0.44421
-0.51841,-0.33521,0.24385,-0.21821,-0.50694,0.10920,-0.44191,-0.04228,-0.50507,-0.65911,-0.48631,-0.16235,-0.43917
-0.51351,-0.26493,0.25929,-0.12404,-0.55041,0.19075,-0.37664,0.07009,-0.41447,-0.58764,-0.39729,-0.11833,-0.34129
-0.50668,-0.27494,0.24787,-0.11701,-0.53173,0.12866,-0.43597,0.03007,-0.39333,-0.58970,-0.44196,-0.08142,-0.31703
-0.49790,-0.26642,0.28553,-0.14030,-0.59346,0.25346,-0.43263,0.05028,-0.47281,-0.54739,-0.43854,-0.02402,-0.31875
-0.48721,-0.25030,0.26878,-0.16049,-0.58909,0.21686,-0.34196,0.06504,-0.46005,-0.55544,-0.32643,-0.02200,-0.32939
-0.47479,-0.24161,0.24709,-0.20408,-0.57378,0.14407,-0.31556,0.06967,-0.49689,-0.44008,-0.39487,-0.00285,-0.20179
-0.46073,-0.20658,0.24679,-0.17550,-0.61570,0.19043,-0.26761,0.08979,-0.39816,-0.41204,-0.29323,0.00269,-0.18650
-0.44510,-0.17440,0.26484,-0.10045,-0.66718,0.21371,-0.25771,0.12200,-0.33803,-0.34546,-0.32831,0.05264,-0.09518
-0.42792,-0.22806,0.25345,-0.14741,-0.63691,0.12985,-0.26620,0.08156,-0.45810,-0.48672,-0.31709,-0.00892,-0.17066
-0.40962,-0.20398,0.25080,-0.16482,-0.54376,0.22332,-0.29241,0.08873,-0.47415,-0.42435,-0.26406,0.01478,-0.20307
-0.39036,-0.20471,0.23508,-0.19208,-0.52689,0.17191,-0.30048,0.07847,-0.50097,-0.38506,-0.24488,-0.01926,-0.12782
-0.37027,-0.20644,0.22584,-0.24043,-0.46128,0.14785,-0.27834,0.08675,-0.52953,-0.38048,-0.25275,-0.02092,-0.13528
-0.34932,-0.26520,0.27667,-0.33225,-0.60051,0.20752,-0.28502,0.08617,-0.60359,-0.33769,-0.49794,-0.04061,-0.24808
-0.32782,-0.14769,0.21819,-0.14784,-0.41213,0.24501,-0.22854,0.09916,-0.40858,-0.22934,-0.32721,0.01042,-0.07785
-0.30629,-0.18092,0.26796,-0.11555,-0.57735,0.24852,-0.17902,0.09439,-0.45010,-0.49934,-0.24577,0.02167,-0.10669
-0.28494,-0.10056,0.21841,-0.05768,-0.39699,0.25423,-0.19205,0.14388,-0.41998,-0.15610,-0.20999,0.04646,-0.01737
-0.26395,-0.03194,0.16676,-0.04948,-0.21447,0.24626,-0.12590,0.19340,-0.27577,-0.07924,-0.10222,0.07131,0.01672
-0.24358,-0.01869,0.17306,-0.04851,-0.26139,0.26655,-0.12096,0.20935,-0.24078,-0.02015,-0.08379,0.07990,0.03290
-0.22410,0.00030,0.16546,-0.04675,-0.21979,0.26908,-0.08238,0.23268,-0.21336,-0.02107,-0.05922,0.10913,0.03474
-0.20592,0.00515,0.15289,-0.04903,-0.20829,0.26896,-0.06893,0.20109,-0.16250,0.01178,-0.09135,0.09953,0.05023
-0.18904,0.01853,0.14791,-0.05218,-0.15771,0.27967,-0.05533,0.22046,-0.17233,0.04162,-0.05039,0.07670,0.05484
-0.17377,0.03019,0.15077,-0.04770,-0.17851,0.27840,-0.04545,0.24656,-0.14410,0.07357,-0.02891,0.09875,0.04927
-0.16048,0.01765,0.17243,-0.05197,-0.18225,0.34869,-0.08584,0.23543,-0.19595,0.03161,-0.05141,0.07258,0.05561
-0.14925,0.02718,0.16181,-0.04847,-0.16033,0.32828,-0.03365,0.21963,-0.21116,0.05912,-0.01644,0.08114,0.05371
-0.14024,0.03919,0.15495,-0.04921,-0.17272,0.35286,-0.02346,0.21816,-0.11279,0.04958,-0.01374,0.09284,0.05042
-0.13352,-0.00089,0.15602,-0.05678,-0.18473,0.29515,-0.07154,0.19612,-0.20417,-0.01154,-0.06768,0.04690,0.04942
-0.12931,0.05203,0.16706,-0.05129,-0.14076,0.39373,-0.03613,0.28172,-0.06846,0.04985,-0.04989,0.08529,0.05622
-0.12761,0.07355,0.17096,-0.05029,-0.13843,0.35968,-0.07992,0.34589,0.05450,0.04019,-0.04569,0.15831,0.09126
-0.12847,0.03450,0.17786,-0.06027,-0.17818,0.41818,-0.06068,0.23786,-0.06565,-0.04154,-0.06909,0.11199,0.05234
-0.13187,0.04175,0.18444,-0.05074,-0.19756,0.41280,-0.02417,0.26315,-0.08499,-0.06081,-0.04947,0.16167,0.04760
-0.13777,-0.02035,0.18450,-0.05754,-0.18976,0.37769,-0.11322,0.16406,-0.19685,-0.14943,-0.14547,0.07407,0.03290
-0.14607,-0.04550,0.17455,-0.06856,-0.20524,0.26616,-0.07085,0.14440,-0.25737,-0.24749,-0.12098,0.09580,0.00910
-0.15677,-0.00947,0.15929,-0.06733,-0.19597,0.23746,-0.07325,0.22293,-0.18551,-0.13059,-0.05981,0.13964,0.01774
-0.16968,-0.03733,0.18972,-0.07114,-0.24359,0.27751,-0.16374,0.21646,-0.20028,-0.20764,-0.13396,0.14696,0.00607
-0.18441,-0.03381,0.17597,-0.07038,-0.20259,0.25249,-0.16062,0.19418,-0.18872,-0.19673,-0.13821,0.15170,0.02078
-0.20080,-0.01276,0.17915,-0.06355,-0.21958,0.32069,-0.11426,0.21772,-0.15536,-0.16683,-0.09644,0.10956,0.04047
-0.21882,-0.02647,0.19055,-0.05967,-0.23505,0.29517,-0.11569,0.19933,-0.16144,-0.25090,-0.13837,0.15663,0.04526
-0.23811,-0.03046,0.20762,-0.05748,-0.19988,0.31864,-0.18233,0.22663,-0.21475,-0.26432,-0.14700,0.16694,0.04894
-0.25805,-0.07160,0.23323,-0.05330,-0.24086,0.28329,-0.25262,0.22041,-0.25707,-0.39067,-0.20212,0.16635,0.01058
-0.27839,-0.11410,0.22798,-0.05697,-0.23800,0.15638,-0.30276,0.20514,-0.29593,-0.48153,-0.20618,0.12547,-0.04658
-0.29912,-0.11161,0.23400,-0.06690,-0.20845,0.17701,-0.32684,0.20244,-0.24599,-0.49656,-0.25933,0.12532,-0.01678
-0.31948,-0.06024,0.22296,-0.05030,-0.15130,0.21847,-0.28068,0.25447,-0.16658,-0.43183,-0.17193,0.14992,0.02735
-0.33918,-0.07872,0.21619,-0.04596,-0.21566,0.16782,-0.27722,0.24287,-0.21063,-0.43464,-0.15119,0.11571,0.02168
-0.35821,-0.10691,0.23308,-0.05201,-0.29595,0.20282,-0.31770,0.21540,-0.20906,-0.45824,-0.21087,0.13943,-0.08292
-0.37609,-0.10942,0.20988,-0.05124,-0.29949,0.15821,-0.35195,0.20518,-0.22210,-0.37187,-0.18532,0.08499,-0.06064
-0.39220,-0.15540,0.23653,-0.05853,-0.34672,0.07779,-0.31771,0.18565,-0.26917,-0.56768,-0.24510,0.10567,-0.11817
-0.40635,-0.12975,0.20627,-0.04823,-0.32831,0.06600,-0.28870,0.16824,-0.23870,-0.44612,-0.16868,0.13602,-0.14901
-0.41854,-0.16201,0.20678,-0.09332,-0.39069,0.08070,-0.30765,0.13719,-0.26216,-0.43862,-0.21431,0.09297,-0.22425
-0.42824,-0.19207,0.26926,-0.11160,-0.43699,0.16578,-0.31147,0.15590,-0.31911,-0.55870,-0.35920,0.16781,-0.31313
-0.43533,-0.30481,0.34976,-0.18233,-0.63567,0.10119,-0.27740,0.04300,-0.50116,-0.94053,-0.43460,0.16786,-0.38850
-0.43972,-0.24150,0.35371,-0.21089,-0.55337,0.16960,-0.21036,0.13580,-0.37486,-0.95561,-0.28139,0.18323,-0.31711
