cte_true,mc_mean,mc_std,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9
-0.39277,-0.42096,0.07911,-0.36637,-0.34665,-0.47967,-0.43311,-0.34638,-0.50234,-0.50862,-0.31590,-0.38121,-0.52935
-0.47801,-0.34306,0.10077,-0.24391,-0.24254,-0.26437,-0.37749,-0.29887,-0.46514,-0.42587,-0.21989,-0.40210,-0.49037
-0.55839,-0.32544,0.10180,-0.24114,-0.26769,-0.21717,-0.37554,-0.26587,-0.36702,-0.48714,-0.19510,-0.45577,-0.38195
-0.63302,-0.34950,0.08644,-0.26024,-0.40279,-0.25823,-0.36066,-0.29844,-0.46101,-0.39279,-0.23471,-0.48310,-0.34300
-0.70003,-0.44726,0.08951,-0.28810,-0.55098,-0.36153,-0.36511,-0.50620,-0.51472,-0.47541,-0.47582,-0.54310,-0.39161
-0.61889,-0.63669,0.10035,-0.48522,-0.71705,-0.65502,-0.47369,-0.78678,-0.72118,-0.61537,-0.66385,-0.66419,-0.58457
-0.76228,-0.83371,0.08434,-0.69478,-0.84916,-0.85293,-0.76724,-0.86241,-1.01236,-0.88141,-0.83443,-0.76814,-0.81422
-0.89903,-0.91553,0.09495,-0.79184,-0.98608,-0.92153,-0.92238,-0.97892,-1.03014,-1.02607,-0.90454,-0.75728,-0.83654
-1.02222,-0.94767,0.11475,-0.86889,-1.05600,-0.94233,-0.98287,-0.94627,-1.00285,-1.13867,-0.92961,-0.70841,-0.90084
-1.12767,-0.91284,0.13203,-0.91114,-1.03590,-0.94951,-0.94586,-0.92803,-0.89851,-1.13043,-0.91473,-0.64841,-0.76588
-1.21485,-1.05182,0.13262,-1.03938,-1.11046,-1.01885,-1.08459,-1.14008,-0.95624,-1.31173,-1.03858,-0.79259,-1.02565
-1.08715,-1.28088,0.09739,-1.22644,-1.26454,-1.12347,-1.30262,-1.36454,-1.24067,-1.40236,-1.16545,-1.29667,-1.42208
-1.23009,-1.37953,0.09635,-1.33133,-1.40396,-1.33721,-1.34958,-1.53057,-1.42602,-1.47820,-1.17190,-1.39031,-1.37620
-1.35607,-1.40808,0.10509,-1.39007,-1.46713,-1.41406,-1.35358,-1.59139,-1.39062,-1.48808,-1.18199,-1.42513,-1.37877
-1.45890,-1.42463,0.10060,-1.35776,-1.51411,-1.50469,-1.36832,-1.57240,-1.43756,-1.48678,-1.22998,-1.42271,-1.35203
-1.53727,-1.34810,0.12274,-1.24627,-1.42369,-1.41274,-1.36998,-1.53201,-1.32046,-1.45098,-1.15701,-1.39556,-1.17232
-1.59354,-1.31225,0.11750,-1.12729,-1.37372,-1.28051,-1.38870,-1.46178,-1.27387,-1.46726,-1.21886,-1.36125,-1.16928
-1.62750,-1.33472,0.13475,-1.17696,-1.42446,-1.25390,-1.37467,-1.53525,-1.25279,-1.49969,-1.22314,-1.43314,-1.17325
-1.47017,-1.48010,0.12072,-1.35034,-1.58015,-1.44089,-1.36962,-1.74002,-1.55276,-1.50006,-1.37630,-1.49103,-1.39981
-1.55693,-1.59258,0.11617,-1.51731,-1.62498,-1.53722,-1.36735,-1.78580,-1.70323,-1.58484,-1.65330,-1.51649,-1.63532
-1.62154,-1.59549,0.12239,-1.48415,-1.60604,-1.58158,-1.37572,-1.72477,-1.78941,-1.54939,-1.69183,-1.51551,-1.63648
-1.66364,-1.46327,0.13407,-1.21432,-1.49477,-1.47448,-1.34731,-1.67458,-1.61721,-1.46710,-1.54401,-1.43256,-1.36633
-1.68296,-1.42805,0.13422,-1.11213,-1.53653,-1.40107,-1.34277,-1.53305,-1.52029,-1.41665,-1.56675,-1.38289,-1.46841
-1.67933,-1.45039,0.16616,-1.13844,-1.56247,-1.30395,-1.36823,-1.47790,-1.68910,-1.38436,-1.66496,-1.42423,-1.49028
-1.65269,-1.44772,0.18529,-1.04728,-1.62601,-1.42594,-1.33478,-1.46011,-1.70234,-1.37632,-1.62782,-1.41695,-1.45963
-1.46859,-1.44211,0.16710,-1.11921,-1.51279,-1.52834,-1.34034,-1.42739,-1.70857,-1.32974,-1.63641,-1.39372,-1.42455
-1.49540,-1.43144,0.15765,-1.24100,-1.48859,-1.52088,-1.31797,-1.41907,-1.73967,-1.29476,-1.59811,-1.28616,-1.40824
-1.49906,-1.25639,0.16455,-1.18637,-1.25172,-1.43673,-1.24399,-1.03907,-1.59820,-1.12371,-1.34679,-1.18923,-1.14809
-1.47946,-1.13759,0.13584,-1.07870,-1.11528,-1.20741,-1.18238,-0.94066,-1.41181,-1.09744,-1.27252,-1.02210,-1.04760
-1.43661,-1.05843,0.11510,-1.00307,-1.07972,-1.07675,-1.05881,-0.87132,-1.24235,-1.00683,-1.21866,-1.09751,-0.92927
-1.37057,-1.07199,0.13758,-1.11277,-1.05373,-1.17031,-1.03336,-0.87707,-1.25090,-0.95118,-1.30869,-0.98069,-0.98121
-1.10061,-1.07841,0.11305,-1.09408,-1.06346,-1.09636,-1.04036,-0.94643,-1.24665,-0.93636,-1.24234,-0.96089,-1.15717
-1.09421,-1.00657,0.12859,-0.99591,-0.94379,-1.19050,-0.96917,-0.88858,-1.14143,-0.89632,-1.20917,-0.85374,-0.97706
-1.07417,-1.00258,0.15263,-1.07118,-0.94333,-1.21066,-0.86945,-0.83116,-1.18928,-0.81759,-1.18796,-0.91650,-0.98869
-1.03669,-0.77931,0.10310,-0.77645,-0.77050,-0.91843,-0.60972,-0.65297,-0.86472,-0.76762,-0.92789,-0.76893,-0.73587
-0.98204,-0.70887,0.11695,-0.57681,-0.84121,-0.74133,-0.55145,-0.59503,-0.81654,-0.67868,-0.89963,-0.69163,-0.69640
-0.91167,-0.65205,0.09629,-0.48786,-0.77250,-0.73930,-0.53063,-0.57354,-0.74728,-0.62338,-0.65876,-0.69943,-0.68779
-0.63963,-0.66927,0.10998,-0.50733,-0.84085,-0.68904,-0.54531,-0.57776,-0.79486,-0.63330,-0.63026,-0.71130,-0.76263
-0.65207,-0.71059,0.13340,-0.56536,-0.86342,-0.75320,-0.53943,-0.62352,-0.90050,-0.56059,-0.75701,-0.70474,-0.83816
-0.66068,-0.67132,0.12850,-0.59222,-0.61926,-0.75940,-0.49635,-0.57313,-0.93610,-0.59755,-0.77083,-0.63011,-0.73822
-0.66066,-0.44710,0.11012,-0.34970,-0.49235,-0.37566,-0.41380,-0.28800,-0.59409,-0.57421,-0.47475,-0.33707,-0.57138
-0.65167,-0.35254,0.10930,-0.26204,-0.40287,-0.26444,-0.33330,-0.24865,-0.50779,-0.47725,-0.26907,-0.25805,-0.50194
-0.63408,-0.41046,0.09628,-0.35418,-0.41240,-0.39616,-0.40544,-0.31984,-0.56384,-0.49519,-0.36794,-0.25549,-0.53408
